student,exams
016e4ac50147c699e2cfa56cd6e9412e934ab99ad24e0481a10f19c509465eb2,"['1-3047', 'MLG08', '1-1687']"
016ecbaf14f4e6fcb14e031baffa02453894415bb9e330e4230242026f59c57c,"['1-3523', 'MLG12', 'MLG06']"
016f91c7a78b979c085d67c799ea386dd8d31a950779f82b077d8fa01a651058,"['1-7647', '1-8766']"
0170a57fa07dc702c7863d442fab4ac4f015bb76deceae3f24b187dc65a18b63,"['1-7464', '1-7625', '1-8766']"
017ac7fe76eb301163ff8aec897cae7cd58423fa8f1012066de70c409b02fcf8,"['1-1530', '1-9071', '1-3037', 'MLG30', '1-4397']"
017f87edb0fb97c482a4729f08bec4a8d8be7abf3909247686075b551edefa83,"['1-7725', 'MLG06', '1-6591', 'MLG14', 'MLG63']"
018579876c10890de48aa2d6082b18cc55fc5ce7320d42cc9a78a54e1215f166,"['MLG66', 'MLG03']"
01894ef70ba9c2cf6e3581fc4e7125a052a2d1fa7c6f5e9681213c4ae5d9edf9,"['1-1633', '1-6568', 'MLG15']"
018a377653c89b063140e32b9fdf53ccc3a844f816fbdfaa3ba2d9364e1fabfb,['1-2485']
018ac2604e809ad60f41d8e0a45799e63e86fe1b4b81f19f534a3832013a9d22,"['1-3075', '1-3081', '1-3079']"
019295fac5e981496adef2304650a2abf4c17cf8044075715540dfe461cafac0,"['1-3523', 'MLG11', '1-6678']"
0194cd4d6d532f8d87ba48f039e17072680b5f427364d8056e2048bab9338bd4,"['1-7589', '1-7187', '1-8611']"
0196ad479abc328b11d8a80d667b8bc8ed2c39f25a2099798646c2986b706423,"['1-7402', '1-9071', 'MLG57']"
01970361036c43defd466e0db2161865608b999370e24062140e25dc2ad7417c,"['1-5271', '1-9100', '1-11189']"
0198f793a419ccfa74c3edbbbb338ce6a3a1b462a26cfb6336f997c314ca986d,"['MLG50', 'MLG56', 'MLG55', '1-8618']"
019a83e931928e7191675f16b2e10e55893350fe6a0f169e3cb49fb7c4e2e7cd,"['1-8753', '1-9365', '1-8753', '1-18412', '1-3186', '1-8611']"
019c4fb73ec179d37e9deb330f41f5f15532016ad8eb9a18200bf0b1a6823398,"['1-1530', '1-7993', '1-8611']"
01a562ec555bc2ae5d52ed0c166236e6c75bbf8c4c2f30db6e0b36b2e5ab185d,"['1-2742', '1-7589']"
01a7cae1199c61dd8d4c53ea733db39b1f3f096f1afbeb1751cb14aaa16b5d73,"['1-1633', '1-6957', '1-19257']"
01ab398f55e9c49a8bc8b7f34bf5567709e96ea4825cb8266c5c79eb1cb39fc3,"['1-1530', '1-7462', '1-6727']"
01b479c8698294bee1fc60d8009455895e164252b593150b00b8b2aafc4f39e0,"['1-18816', '1-8729', '1-19109']"
01bc9235cc478073d289f7b68b8ac507ebb3ff3c86ee780ac870eb58024750ea,"['1-3491', '1-3489']"
01c4692a2c4fe3b07801965f92b6677d996a43afbe275eef275445db5fe78e02,"['1-8753', '1-1152', '1-8753', '1-8611']"
