,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
366,1-3108,6,11,1-3108,18,0,0,3,2.7022621035575867,0.1501256724198659
367,1-9498,3,24,1-9498,64,6,0,4,9.603016138076782,0.1500471271574497
368,1-6217,18,1,1-6217,44,2,0,5,6.503770172595978,0.1478129584680904
369,1-18603,2,22,1-18603,19,1,0,2,2.801508069038391,0.1474477931072837
370,MLG12,5,16,MLG12,146,13,0,9,21.10678631067276,0.1445670295251558
371,1-1580,13,8,1-1580,400,45,0,14,57.61055648326874,0.1440263912081718
372,1-4355,13,8,1-4355,49,6,0,1,6.900754034519196,0.1408317149901876
373,1-9870,17,14,1-9870,27,2,0,2,3.801508069038391,0.14079659514957
374,1-1836,9,12,1-1836,20,1,0,2,2.801508069038391,0.1400754034519195
375,1-2423,5,16,1-2423,79,2,0,10,11.007540345191956,0.139335953736607
376,1-9768,7,18,1-9768,241,18,0,17,33.312818586826324,0.1382274630158768
377,1-9436,3,24,1-9436,21,2,0,1,2.900754034519196,0.138131144500914
378,MLG67,5,16,MLG67,27,1,0,3,3.702262103557586,0.137120818650281
379,1-6914,19,23,1-6914,73,10,0,0,10.0,0.136986301369863
380,MLG33,4,9,MLG33,20,0,0,3,2.7022621035575867,0.1351131051778793
381,1-6787,4,9,1-6787,56,2,0,6,7.404524207115173,0.1322236465556281
382,1-7964,17,14,1-7964,202,14,0,14,26.61055648326873,0.1317354281349937
383,1-8551,8,5,1-8551,38,4,0,1,4.900754034519196,0.1289672114347156
384,1-5913,21,16,1-5913,14,0,0,2,1.8015080690383911,0.1286791477884565
385,1-5036,15,20,1-5036,14,0,0,2,1.8015080690383911,0.1286791477884565
386,1-5530,1,21,1-5530,7,0,0,1,0.9007540345191956,0.1286791477884565
387,1-8157,2,22,1-8157,75,6,0,4,9.603016138076782,0.1280402151743571
388,1-3206,2,22,1-3206,45,3,0,3,5.702262103557587,0.126716935634613
389,1-9504,5,16,1-9504,30,2,0,2,3.801508069038391,0.126716935634613
390,1-18935,15,20,1-18935,30,2,0,2,3.801508069038391,0.126716935634613
391,1-7152,8,5,1-7152,109,2,0,13,13.709802448749542,0.1257780041169682
392,1-5531,22,17,1-5531,8,1,0,0,1.0,0.125
393,1-10444,6,11,1-10444,8,1,0,0,1.0,0.125
394,1-18409,16,19,1-18409,22,0,0,3,2.7022621035575867,0.1228300956162539
395,MLG17,2,22,MLG17,153,7,0,13,18.709802448749542,0.1222862905147029
396,1-1827,14,6,1-1827,24,1,0,2,2.801508069038391,0.1167295028765996
397,1-8328,3,24,1-8328,114,6,0,8,13.206032276153564,0.1158423883873119
398,1-1250,3,24,1-1250,34,3,0,1,3.900754034519196,0.1147280598387998
399,P-16454,2,22,P-16454,8,0,0,1,0.9007540345191956,0.1125942543148994
400,1-9444,4,9,1-9444,24,0,0,3,2.7022621035575867,0.1125942543148994
401,1-9861,7,18,1-9861,8,0,0,1,0.9007540345191956,0.1125942543148994
402,1-5425,10,24,1-5425,17,1,0,1,1.900754034519196,0.1118090608540703
403,1-5744,9,20,1-5744,18,2,0,0,2.0,0.1111111111111111
404,1-8113,1,21,1-8113,9,1,0,0,1.0,0.1111111111111111
405,1-8084,4,9,1-8084,82,1,0,9,9.10678631067276,0.1110583696423507
406,1-8397,20,19,1-8397,51,2,0,4,5.603016138076782,0.1098630615309173
407,1-1191,8,5,1-1191,53,4,0,2,5.801508069038391,0.1094624163969507
408,1-2103,1,21,1-2103,26,1,0,2,2.801508069038391,0.1077503103476304
409,1-4640,8,5,1-4640,87,3,0,7,9.305278241634367,0.1069572211682111
410,MLG64,3,24,MLG64,245,17,0,10,26.00754034519196,0.1061532258987426
411,1-7845,19,12,1-7845,36,2,0,2,3.801508069038391,0.1055974463621775
412,1-0008,5,16,1-0008,230,15,0,10,24.00754034519196,0.1043806101964867
413,1-3589,5,16,1-3589,27,1,0,2,2.801508069038391,0.103759558112533
414,1-19549,1,21,1-19549,29,3,0,0,3.0,0.1034482758620689
415,1-5508,12,5,1-5508,38,2,0,2,3.801508069038391,0.100039686027326
416,1-1005,3,24,1-1005,125,5,0,8,12.206032276153564,0.0976482582092285
417,1-7722,15,20,1-7722,60,4,0,2,5.801508069038391,0.0966918011506398
418,1-8928,7,18,1-8928,39,1,0,3,3.702262103557586,0.0949297975271176
419,1-8188,16,19,1-8188,140,4,0,10,13.007540345191956,0.0929110024656568
420,1-8541,1,21,1-8541,232,14,0,8,21.206032276153564,0.0914053115351446
421,1-9731,1,21,1-9731,11,1,0,0,1.0,0.0909090909090909
422,1-5406,1,21,1-5406,10,0,0,1,0.9007540345191956,0.0900754034519195
423,1-9576,2,5,1-9576,10,0,0,1,0.9007540345191956,0.0900754034519195
424,1-1850,15,20,1-1850,30,0,0,3,2.7022621035575867,0.0900754034519195
425,1-8181,7,18,1-8181,30,0,0,3,2.7022621035575867,0.0900754034519195
426,72-18936,12,13,72-18936,20,0,0,2,1.8015080690383911,0.0900754034519195
427,1-10451,12,9,1-10451,46,4,0,0,4.0,0.0869565217391304
428,1-9500,9,12,1-9500,33,1,0,2,2.801508069038391,0.0848941839102542
429,1-8576,1,21,1-8576,55,1,0,4,4.603016138076782,0.0836912025104869
430,1-7066,11,3,1-7066,23,1,0,1,1.900754034519196,0.0826414797617041
431,1-8578,4,9,1-8578,11,0,0,1,0.9007540345191956,0.0818867304108359
432,1-18615,3,24,1-18615,22,0,0,2,1.8015080690383911,0.0818867304108359
433,1-9892,16,19,1-9892,22,0,0,2,1.8015080690383911,0.0818867304108359
434,1-9645,9,12,1-9645,69,2,0,4,5.603016138076782,0.0812031324358954
435,1-7839,8,19,1-7839,24,1,0,1,1.900754034519196,0.0791980847716331
436,1-2584,17,14,1-2584,36,1,0,2,2.801508069038391,0.0778196685843997
437,1-18004,9,1,1-18004,12,0,0,1,0.9007540345191956,0.0750628362099329
438,1-19004,3,24,1-19004,60,0,0,5,4.503770172595978,0.0750628362099329
