Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,MLG48,15,8,MLG48,159,11,0,81,58.25540089607239,0.36638616915768796
359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,1-4417,6,18,1-4417,151,8,0,81,55.25540089607239,0.3659298072587575
479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,1-9286,13,15,1-9286,81,23,0,11,29.417400121688843,0.3631777792801092
347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,1-8188,1,21,1-8188,140,45,0,10,50.83400011062622,0.3631000007901873
501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,1-18487,17,17,1-18487,23,6,0,4,8.333600044250488,0.36233043670654297
161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,MLG41,19,10,MLG41,66,18,0,10,23.83400011062622,0.361121213797367
346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,MLG32,1,21,MLG32,52,17,0,3,18.750200033187866,0.36058076986899745
329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,1-1317,20,4,1-1317,414,101,0,82,148.838800907135,0.3595140118529831
415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,1-1957,9,7,1-1957,47,11,0,10,16.83400011062622,0.3581702151197068
279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,MLG43,19,10,MLG43,14,5,0,0,5.0,0.35714285714285715
286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,1-3587,12,20,1-3587,46,10,0,11,16.417400121688843,0.3569000026454096
560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,1-0027,22,9,1-0027,29,5,0,9,10.250600099563599,0.3534689689504689
388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,MLG49,13,15,MLG49,185,33,0,55,65.08700060844421,0.3518216249105093
305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,1-7866,11,14,1-7866,318,50,0,106,111.84040117263794,0.3516993747567231
263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,1-6927,20,4,1-6927,179,30,0,56,62.670400619506836,0.35011396994137894
353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,MLG50,21,3,MLG50,319,68,0,74,111.17160081863403,0.3485003160458747
273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,1-3589,7,2,1-3589,27,7,0,4,9.333600044250488,0.3456888905277959
320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,MLG13,10,16,MLG13,140,15,0,57,48.25380063056946,0.34467000450406754
459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,1-2545,11,14,1-2545,145,35,0,25,49.58500027656555,0.34196551914872797
93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,1-20003,10,16,1-20003,21,6,0,2,7.166800022125244,0.3412761915297735
283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,1-3535,9,7,1-3535,315,66,0,71,107.42140078544617,0.34102031995379734
350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,1-2282,15,8,1-2282,219,56,0,32,74.6688003540039,0.34095342627399045
143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,1-8928,9,7,1-8928,39,8,0,9,13.250600099563599,0.33975897691188717
376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,1-7874,16,11,1-7874,258,35,0,90,87.50600099563599,0.3391705464947131
343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,1-4319,20,4,1-4319,163,33,0,38,55.16920042037964,0.3384613522722677
429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,1-6693,22,9,1-6693,98,18,0,26,33.168400287628174,0.3384530641594712
484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,MLG31,1,21,MLG31,33,10,0,2,11.166800022125244,0.33838787945834076
478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,1-9394,15,8,1-9394,117,29,0,18,39.5012001991272,0.33761709571903586
319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,1-3584,22,9,1-3584,26,7,0,3,8.750200033187866,0.3365461551226102
497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,1-8493,19,10,1-8493,38,4,0,15,12.751000165939331,0.3355526359457719
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,1-7467,19,10,1-7467,64,16,0,9,21.2506000995636,0.33204062655568123
209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,1-9938,20,4,1-9938,55,13,0,9,18.2506000995636,0.33182909271933814
153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,1-1350,4,12,1-1350,195,41,0,40,64.33600044250488,0.3299282073974609
188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,1-20167,22,9,1-20167,56,12,0,11,18.417400121688843,0.3288821450301579
95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,1-3312,20,4,1-3312,36,6,0,10,11.83400011062622,0.3287222252951728
122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,MLG42,14,6,MLG42,14,4,0,1,4.583400011062622,0.3273857150759016
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1-9946,5,5,1-9946,12,1,0,5,3.9170000553131104,0.32641667127609253
314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,1-3139,10,16,1-3139,93,14,0,28,30.335200309753418,0.32618494956724103
523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,1-9861,19,10,1-9861,8,2,0,1,2.583400011062622,0.32292500138282776
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,1-1258,16,11,1-1258,435,108,0,55,140.0870006084442,0.32203908185849245
172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,1-8573,15,8,1-8573,184,30,0,50,59.1700005531311,0.32157608996266906
270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,1-1390,19,10,1-1390,98,21,0,18,31.501200199127197,0.3214408183584408
384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,1-9270,16,11,1-9270,128,24,0,29,40.91860032081604,0.3196765650063753
398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,1-0303,13,15,1-0303,212,52,0,27,67.7518002986908,0.3195839636730698
243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,1-1015,12,20,1-1015,155,39,0,18,49.5012001991272,0.3193625819298529
433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,1-5654,7,2,1-5654,15,3,0,3,4.750200033187866,0.3166800022125244
