Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
263,263,263,263,263,263,1-6927,12,7,1-6927,179,21,0,49,34.57173293828964,0.19313817283960694
522,522,522,522,522,522,1-5282,1,18,1-5282,17,3,0,1,3.276974141597748,0.1927631847998675
244,244,244,244,244,244,MLG57,17,9,MLG57,629,86,0,126,120.89874184131622,0.19220785666345983
240,240,240,240,240,240,MLG33,1,18,MLG33,20,3,0,3,3.8309224247932434,0.19154612123966216
305,305,305,305,305,305,1-7866,6,10,1-7866,318,21,0,144,60.884276390075684,0.19145998864803673
306,306,306,306,306,306,1-18377,6,10,1-18377,14,1,0,6,2.661844849586487,0.19013177497046335
205,205,205,205,205,205,1-8018,7,1,1-8018,58,11,0,0,11.0,0.1896551724137931
414,414,414,414,414,414,1-8285,10,12,1-8285,72,10,0,13,13.600663840770721,0.18889810889959335
166,166,166,166,166,166,MLG40,2,19,MLG40,51,4,0,20,9.539482831954956,0.18704868297950894
261,261,261,261,261,261,1-1942,2,19,1-1942,34,3,0,12,6.323689699172974,0.18599087350508747
496,496,496,496,496,496,1-3176,18,8,1-3176,3,0,0,2,0.5539482831954956,0.18464942773183188
58,58,58,58,58,58,1-17733,17,9,1-17733,74,12,0,6,13.661844849586487,0.18461952499441198
440,440,440,440,440,440,MLG52,18,8,MLG52,125,20,0,11,23.046715557575226,0.1843737244606018
97,97,97,97,97,97,1-9237,7,1,1-9237,38,7,0,0,7.0,0.18421052631578946
154,154,154,154,154,154,1-18994,16,23,1-18994,28,4,0,4,5.107896566390991,0.18242487737110682
264,264,264,264,264,264,P-0009,6,10,P-0009,7,1,0,1,1.2769741415977478,0.18242487737110682
136,136,136,136,136,136,1-9549,20,13,1-9549,18,3,0,1,3.276974141597748,0.18205411897765267
479,479,479,479,479,479,1-9286,10,12,1-9286,81,11,0,13,14.600663840770721,0.18025510914531756
460,460,460,460,460,460,1-7993,5,21,1-7993,24,1,0,12,4.323689699172974,0.18015373746554056
346,346,346,346,346,346,MLG32,2,19,MLG32,52,6,0,12,9.323689699172974,0.17930172498409563
224,224,224,224,224,224,1-9227,9,15,1-9227,801,84,0,215,143.54944044351578,0.17921278457367762
314,314,314,314,314,314,1-3139,9,15,1-3139,93,10,0,24,16.647379398345947,0.17900407955210695
268,268,268,268,268,268,MLG44,1,18,MLG44,59,10,0,2,10.553948283195496,0.17888047937619483
418,418,418,418,418,418,1-6216,4,20,1-6216,45,8,0,0,8.0,0.17777777777777778
258,258,258,258,258,258,1-9516,9,15,1-9516,76,7,0,23,13.3704052567482,0.17592638495721316
476,476,476,476,476,476,1-19205,5,21,1-19205,12,1,0,4,2.107896566390991,0.17565804719924927
397,397,397,397,397,397,1-9808,13,17,1-9808,74,8,0,18,12.98553454875946,0.17548019660485759
446,446,446,446,446,446,1-3534,11,5,1-3534,279,29,0,71,48.665164053440094,0.17442711130265268
379,379,379,379,379,379,1-4640,9,15,1-4640,87,6,0,33,15.140146672725677,0.1740246743991457
256,256,256,256,256,256,1-9277,9,15,1-9277,48,5,0,12,8.323689699172974,0.1734102020661036
102,102,102,102,102,102,1-3564,6,10,1-3564,41,6,0,4,7.107896566390991,0.17336333088758515
368,368,368,368,368,368,1-5197,12,7,1-5197,72,5,0,27,12.47830182313919,0.17330974754359987
385,385,385,385,385,385,1-6974,8,4,1-6974,207,22,0,50,35.84870707988739,0.1731821598062193
439,439,439,439,439,439,MLG72,13,17,MLG72,9,1,0,2,1.5539482831954956,0.17266092035505506
349,349,349,349,349,349,1-3052,4,20,1-3052,166,26,0,9,28.49276727437973,0.17164317635168513
114,114,114,114,114,114,1-7496,11,5,1-7496,246,26,0,58,42.06450021266937,0.17099390330353403
279,279,279,279,279,279,MLG43,12,7,MLG43,14,1,0,5,2.384870707988739,0.17034790771348135
422,422,422,422,422,422,1-6878,13,17,1-6878,167,6,0,81,28.434905469417572,0.17026889502645254
271,271,271,271,271,271,1-7897,8,4,1-7897,95,12,0,15,16.154612123966217,0.1700485486733286
144,144,144,144,144,144,1-7744,15,11,1-7744,37,4,0,8,6.215793132781982,0.16799440899410764
343,343,343,343,343,343,1-4319,12,7,1-4319,163,15,0,44,27.186862230300903,0.16679056583006688
89,89,89,89,89,89,1-18004,1,18,1-18004,12,2,0,0,2.0,0.16666666666666666
281,281,281,281,281,281,1-9995,1,18,1-9995,24,4,0,0,4.0,0.16666666666666666
436,436,436,436,436,436,1-5161,1,18,1-5161,12,2,0,0,2.0,0.16666666666666666
448,448,448,448,448,448,1-3106,19,2,1-3106,34,4,0,6,5.661844849586487,0.1665248485172496
457,457,457,457,457,457,1-8503,11,5,1-8503,16,1,0,6,2.661844849586487,0.16636530309915543
401,401,401,401,401,401,1-7204,14,14,1-7204,26,4,0,1,4.276974141597748,0.16449900544606721
340,340,340,340,340,340,1-3362,11,5,1-3362,117,13,0,22,19.09343111515045,0.16319171893290985
523,523,523,523,523,523,1-9861,5,21,1-9861,8,1,0,1,1.2769741415977478,0.15962176769971848
329,329,329,329,329,329,1-1317,12,7,1-1317,414,33,0,119,65.95992285013199,0.15932348514524636
42,42,42,42,42,42,1-1207,2,19,1-1207,66,8,0,9,10.49276727437973,0.15898132233908682
312,312,312,312,312,312,1-3108,10,12,1-3108,18,2,0,3,2.8309224247932434,0.15727346804406908
291,291,291,291,291,291,MLG02,13,17,MLG02,320,29,0,77,50.32700890302658,0.15727190282195808
209,209,209,209,209,209,1-9938,12,7,1-9938,55,2,0,24,8.647379398345947,0.15722507996992632
371,371,371,371,371,371,1-1580,15,11,1-1580,400,33,0,107,62.636233150959015,0.15659058287739755
14,14,14,14,14,14,1-6098,19,2,1-6098,1327,143,0,230,206.704052567482,0.15576793712696457
478,478,478,478,478,478,1-9394,8,4,1-9394,117,11,0,26,18.201327681541443,0.15556690326103798
50,50,50,50,50,50,1-8174,3,24,1-8174,45,7,0,0,7.0,0.15555555555555556
63,63,63,63,63,63,1-7066,17,9,1-7066,23,3,0,2,3.5539482831954956,0.1545194905737172
480,480,480,480,480,480,1-1005,19,2,1-1005,125,11,0,30,19.309224247932434,0.15447379398345948
428,428,428,428,428,428,1-2701,10,12,1-2701,61,8,0,5,9.384870707988739,0.15385033947522522
218,218,218,218,218,218,1-9416,4,20,1-9416,13,2,0,0,2.0,0.15384615384615385
300,300,300,300,300,300,1-4020,8,4,1-4020,37,4,0,6,5.661844849586487,0.15302283377260775
126,126,126,126,126,126,1-8488,17,9,1-8488,23,1,0,9,3.4927672743797302,0.15185944671216217
394,394,394,394,394,394,1-2423,1,18,1-2423,79,7,0,18,11.98553454875946,0.15171562719948684
243,243,243,243,243,243,1-1015,11,5,1-1015,155,11,0,45,23.46383637189865,0.15137958949612032
352,352,352,352,352,352,MLG63,6,10,MLG63,380,40,0,63,57.44937092065811,0.15118255505436345
