Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,1-7024,12,8,1-7024,498,108,0,92,193.82314896583557,0.3892031103731638
477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,1-9055,10,7,1-9055,12,0,0,5,4.664301574230194,0.3886917978525162
305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,1-7866,11,2,1-7866,318,18,0,113,123.41321557760239,0.3880918728855421
349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,1-3052,8,12,1-3052,166,49,0,16,63.92576503753662,0.3850949701056423
92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,1-7807,10,7,1-7807,239,34,0,62,91.8373395204544,0.38425665071319837
208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,1-10468,17,9,1-10468,549,38,0,185,210.57915824651718,0.38356859425595113
166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,MLG40,14,20,MLG40,51,12,0,8,19.46288251876831,0.3816251474268296
538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,1-9576,1,16,1-9576,10,1,0,3,3.7985809445381165,0.37985809445381163
156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,1-8634,4,10,1-8634,10,1,0,3,3.7985809445381165,0.37985809445381163
313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,1-7521,6,17,1-7521,10,1,0,3,3.7985809445381165,0.37985809445381163
442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,MLG11,15,22,MLG11,87,33,0,0,33.0,0.3793103448275862
558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,1-0055,19,4,1-0055,18,4,0,3,6.7985809445381165,0.3776989413632287
201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,1-9902,4,6,1-9902,30,2,0,10,11.328603148460388,0.3776201049486796
124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,1-8427,19,4,1-8427,189,7,0,69,71.36736172437668,0.3776050884887655
396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,1-9963,18,19,1-9963,116,24,0,21,43.590066611766815,0.3757764363083346
557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,1-9806,6,17,1-9806,8,3,0,0,3.0,0.375
489,489,489,489,489,489,489,489,489,489,489,489,489,489,489,489,489,489,489,489,489,1-9578,6,17,1-9578,42,12,0,4,15.731441259384155,0.3745581252234323
193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,1-9553,23,18,1-9553,23,2,0,7,8.530022203922272,0.37087053060531616
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1-9115,10,7,1-9115,16,5,0,1,5.932860314846039,0.3708037696778774
164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,1-9740,6,17,1-9740,34,7,0,6,12.597161889076233,0.3705047614434186
227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,1-3068,8,12,1-3068,180,34,0,35,66.65011101961136,0.37027839455339645
354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,1-9417,4,10,1-9417,76,2,0,28,28.120088815689087,0.370001168627488
362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,1-1462,8,12,1-1462,192,28,0,46,70.91157448291779,0.3693311170985301
368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,1-5197,17,9,1-5197,72,5,0,23,26.455787241458893,0.36744148946470684
404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,1-4682,13,3,1-4682,16,4,0,2,5.865720629692078,0.36660753935575485
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1-9277,8,12,1-9277,48,11,0,7,17.53002220392227,0.36520879591504735
85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,1-8084,7,14,1-8084,82,15,0,16,29.92576503753662,0.3649483541163003
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1-8267,10,7,1-8267,133,14,0,37,48.515831649303436,0.36478068909250705
446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,1-3534,10,7,1-3534,279,40,0,66,101.56878077983856,0.3640458092467332
343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,1-4319,4,10,1-4319,163,8,0,55,59.307317316532135,0.36384857249406216
312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,1-3108,2,5,1-3108,18,0,0,7,6.530022203922272,0.3627790113290151
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,72-12171,8,12,72-12171,19,5,0,2,6.865720629692078,0.3613537173522146
340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,1-3362,10,7,1-3362,117,18,0,26,42.25436818599701,0.36114844603416246
387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,1-10539,19,4,1-10539,63,5,0,19,22.724345982074738,0.36070390447737677
435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,1-9610,12,8,1-9610,49,13,0,5,17.664301574230194,0.36049595049449373
308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,1-6743,22,6,1-6743,58,5,0,17,20.85862535238266,0.3596314715928045
498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,1-19915,18,19,1-19915,62,11,0,12,22.194323778152466,0.35797296416374946
391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,MLG30,21,15,MLG30,208,53,0,23,74.45578724145889,0.357960515583937
509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,1-18935,4,10,1-18935,30,7,0,4,10.731441259384155,0.3577147086461385
445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,1-6538,1,16,1-6538,44,11,0,5,15.664301574230194,0.35600685395977716
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,1-9925,7,14,1-9925,93,6,0,29,33.052949130535126,0.3554080551670444
478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,1-9394,16,21,1-9394,117,7,0,37,41.515831649303436,0.3548361679427644
505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,1-4747,18,19,1-4747,25,6,0,3,8.798580944538116,0.35194323778152464
206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,1-9752,23,18,1-9752,22,4,0,4,7.731441259384155,0.35142914815382525
338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,1-6296,21,15,1-6296,254,36,0,57,89.17303794622421,0.3510749525441898
494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,1-3265,4,10,1-3265,19,2,0,5,6.664301574230194,0.35075271443316813
183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,1-9496,17,9,1-9496,39,9,0,5,13.664301574230194,0.35036670703154343
61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,1-7341,5,13,1-7341,110,3,0,38,38.448691964149475,0.34953356331044977
121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,1-7070,19,4,1-7070,129,4,0,44,45.04585385322571,0.34919266552888145
406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,1-17907,10,7,1-17907,119,19,0,24,41.38864755630493,0.3478037609773524
407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,1-8421,18,19,1-8421,109,22,0,17,37.85862535238266,0.3473268380952538
347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,1-8188,1,16,1-8188,140,13,0,38,48.448691964149475,0.34606208545821054
399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,MLG60,11,2,MLG60,47,6,0,11,16.261463463306427,0.34598858432566865
283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,1-3535,16,21,1-3535,315,49,0,64,108.70306015014648,0.34508907984173487
295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,1-3639,16,21,1-3639,17,4,0,2,5.865720629692078,0.3450423899818869
241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,1-19448,16,21,1-19448,45,8,0,8,15.46288251876831,0.34361961152818465
415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,1-1957,16,21,1-1957,47,4,0,13,16.127184092998505,0.3431315764467767
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,1-7995,14,20,1-7995,14,2,0,3,4.7985809445381165,0.3427557817527226
152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,1-9500,14,20,1-9500,33,1,0,11,11.261463463306427,0.3412564685850432
467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,1-13247,22,21,1-13247,29,8,0,2,9.865720629692078,0.34019726309283027
411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,MLG15,6,17,MLG15,105,4,0,34,35.71725070476532,0.3401642924263364
437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,1-6980,6,6,1-6980,128,21,0,24,43.38864755630493,0.3389738090336323
330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,1-4531,8,12,1-4531,94,15,0,18,31.7914856672287,0.3382072943322202
129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,1-2573,20,11,1-2573,37,5,0,8,12.46288251876831,0.3368346626694138
392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,1-9609,7,14,1-9609,25,0,0,9,8.39574283361435,0.33582971334457395
290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,1-8341,8,12,1-8341,197,40,0,28,66.12008881568909,0.3356349686075588
393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,1-7819,19,4,1-7819,59,3,0,18,19.7914856672287,0.3354489096140457
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1-8174,17,9,1-8174,45,2,0,14,15.060044407844543,0.33466765350765654
