Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
136,136,136,136,136,136,136,1-1769,14,1-1769,5,89,8,0,12,14.306258201599121,0.16074447417527102
158,158,158,158,158,158,158,1-9808,5,1-9808,18,74,4,0,15,11.882822751998901,0.160578685837823
2,2,2,2,2,2,2,1-6240,12,1-6240,11,698,60,0,98,111.50110864639282,0.1597437086624539
94,94,94,94,94,94,94,1-1005,1,1-1005,7,125,11,0,17,19.933865785598755,0.15947092628479004
210,210,210,210,210,210,210,1-1191,22,1-1191,10,53,0,0,16,8.408344268798828,0.158648005071676
441,441,441,441,441,441,441,1-9997,1,1-9997,7,16,2,0,1,2.5255215167999268,0.15784509479999542
189,189,189,189,189,189,189,MLG10,20,MLG10,20,60,0,0,18,9.459387302398682,0.15765645503997802
492,492,492,492,492,492,492,MLG73,20,MLG73,20,10,0,0,3,1.5765645503997803,0.15765645503997802
138,138,138,138,138,138,138,1-4640,3,1-4640,8,87,1,0,24,13.612516403198242,0.15646570578388785
327,327,327,327,327,327,327,1-8988,17,1-8988,2,29,4,0,1,4.525521516799927,0.15605246609654919
343,343,343,343,343,343,343,MLG67,20,MLG67,20,27,0,0,8,4.204172134399414,0.15571007905183015
230,230,230,230,230,230,230,1-9345,12,1-9345,11,47,1,0,12,7.306258201599121,0.15545230216168343
6,6,6,6,6,6,6,MLG54,11,MLG54,12,595,37,0,105,92.17975926399231,0.1549239651495669
421,421,421,421,421,421,421,1-5282,20,1-5282,20,17,0,0,5,2.627607583999634,0.15456515199997845
14,14,14,14,14,14,14,1-1317,13,1-1317,6,414,36,0,53,63.85264039039612,0.15423343089467662
466,466,466,466,466,466,466,1-9416,2,1-9416,9,13,2,0,0,2.0,0.15384615384615385
371,371,371,371,371,371,371,1-6035,9,1-6035,14,23,3,0,1,3.5255215167999268,0.15328354420869247
392,392,392,392,392,392,392,MLG33,15,MLG33,4,20,2,0,2,3.0510430335998535,0.15255215167999267
224,224,224,224,224,224,224,1-9277,18,1-9277,1,48,1,0,12,7.306258201599121,0.15221371253331503
514,514,514,514,514,514,514,P-0009,3,P-0009,8,7,0,0,2,1.0510430335998535,0.15014900479997909
