Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
376,376,376,376,376,376,376,376,376,376,376,376,376,1-18487,15,1-18487,15,23,2,0,8,3.261457920074463,0.14180251826410709
49,49,49,49,49,49,49,49,49,49,49,49,49,1-6974,22,1-6974,20,207,0,0,186,29.328896641731262,0.14168549102285635
324,324,324,324,324,324,324,324,324,324,324,324,324,1-5515,18,1-5515,11,29,3,0,7,4.103775680065155,0.14150950620914327
70,70,70,70,70,70,70,70,70,70,70,70,70,1-1224,14,1-1224,16,151,12,0,59,21.303252160549164,0.1410811401360872
157,157,157,157,157,157,157,157,157,157,157,157,157,1-17733,4,1-17733,6,74,9,0,8,10.261457920074463,0.13866835027127652
150,150,150,150,150,150,150,150,150,150,150,150,150,1-3083,8,1-3083,3,78,7,0,24,10.784373760223389,0.13826120205414602
133,133,133,133,133,133,133,133,133,133,133,133,133,MLG53,15,MLG53,15,91,11,0,8,12.261457920074463,0.13474129582499408
148,148,148,148,148,148,148,148,148,148,148,148,148,1-0278,15,1-0278,15,79,10,0,4,10.630728960037231,0.1345661893675599
18,18,18,18,18,18,18,18,18,18,18,18,18,MLG63,8,MLG63,3,380,35,0,102,51.0835884809494,0.13443049600249843
126,126,126,126,126,126,126,126,126,126,126,126,126,1-6693,3,1-6693,7,98,10,0,20,13.153644800186157,0.13422086530802202
299,299,299,299,299,299,299,299,299,299,299,299,299,MLG31,6,MLG31,19,33,3,0,9,4.419140160083771,0.1339133381843567
275,275,275,275,275,275,275,275,275,275,275,275,275,1-4020,18,1-4020,11,37,4,0,6,4.946093440055847,0.13367820108259046
257,257,257,257,257,257,257,257,257,257,257,257,257,1-19286,5,1-19286,5,40,5,0,2,5.315364480018616,0.1328841120004654
3,3,3,3,3,3,3,3,3,3,3,3,3,1-6181,12,1-6181,18,659,49,0,244,87.47446656227112,0.13273818901710335
211,211,211,211,211,211,211,211,211,211,211,211,211,1-8042,6,1-8042,19,52,2,0,31,6.888149440288544,0.13246441231324121
430,430,430,430,430,430,430,430,430,430,430,430,430,1-8023,12,1-8023,18,16,1,0,7,2.103775680065155,0.1314859800040722
67,67,67,67,67,67,67,67,67,67,67,67,67,1-3516,1,1-3516,8,156,17,0,21,20.311327040195465,0.13020081436022735
169,169,169,169,169,169,169,169,169,169,169,169,169,1-7268,18,1-7268,11,70,5,0,26,9.099738240242004,0.12999626057488578
48,48,48,48,48,48,48,48,48,48,48,48,48,MLG30,12,MLG30,18,208,19,0,50,26.884112000465393,0.12925053846377593
281,281,281,281,281,281,281,281,281,281,281,281,281,1-3312,4,1-3312,6,36,4,0,4,4.6307289600372314,0.1286313600010342
