,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
540,1-2178,1,19,1-2178,12,0,0,0,0.0,0.0
541,1-4361,13,22,1-4361,10,0,0,0,0.0,0.0
542,1-9739,12,24,1-9739,31,0,0,0,0.0,0.0
543,1-8020,9,14,1-8020,56,0,0,0,0.0,0.0
544,1-7453,1,19,1-7453,13,0,0,0,0.0,0.0
545,1-6971,1,19,1-6971,10,0,0,0,0.0,0.0
546,1-18498,6,3,1-18498,13,0,0,0,0.0,0.0
547,1-9253,4,21,1-9253,24,0,0,0,0.0,0.0
548,1-8529,10,24,1-8529,56,0,0,0,0.0,0.0
549,1-8125,9,14,1-8125,21,0,0,0,0.0,0.0
550,1-7527,1,24,1-7527,1,0,0,0,0.0,0.0
551,1-8113,13,22,1-8113,9,0,0,0,0.0,0.0
552,1-4910,10,5,1-4910,4,0,0,0,0.0,0.0
553,1-3175,15,14,1-3175,6,0,0,0,0.0,0.0
554,1-2584,10,5,1-2584,36,0,0,0,0.0,0.0
555,1-10232,10,5,1-10232,5,0,0,0,0.0,0.0
556,1-6931,17,7,1-6931,1,0,0,0,0.0,0.0
557,1-4499,18,1,1-4499,12,0,0,0,0.0,0.0
558,1-8623,10,5,1-8623,5,0,0,0,0.0,0.0
559,1-3646,1,19,1-3646,7,0,0,0,0.0,0.0
560,1-21192,5,11,1-21192,4,0,0,0,0.0,0.0
561,1-4847,2,24,1-4847,2,0,0,0,0.0,0.0
562,1-6028,14,18,1-6028,2,0,0,0,0.0,0.0
563,1-3033,1,6,1-3033,7,0,0,0,0.0,0.0
564,1-5803,4,21,1-5803,15,0,0,0,0.0,0.0
