Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.2,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
245,245,245,245,245,245,245,1-6647,8,6,1-6647,62,6,0,15,9.30440416932106,0.15007103498904936
261,261,261,261,261,261,261,1-1942,5,23,1-1942,34,4,0,5,5.101468056440353,0.15004317813059864
357,357,357,357,357,357,357,1-4760,2,24,1-4760,40,6,0,0,6.0,0.15
456,456,456,456,456,456,456,1-8186,17,11,1-8186,26,3,0,4,3.8811744451522827,0.14927594019816473
79,79,79,79,79,79,79,1-9739,14,12,1-9739,31,0,0,21,4.626165837049484,0.14923115603385434
528,528,528,528,528,528,528,1-6718,3,17,1-6718,20,1,0,9,2.982642501592636,0.1491321250796318
37,37,37,37,37,37,37,1-5508,13,5,1-5508,38,5,0,3,5.660880833864212,0.14897054825958453
78,78,78,78,78,78,78,1-4088,1,10,1-4088,30,0,0,20,4.405872225761414,0.14686240752538046
272,272,272,272,272,272,272,1-1570,20,19,1-1570,142,14,0,31,20.82910194993019,0.14668381654880416
227,227,227,227,227,227,227,1-3068,13,5,1-3068,180,16,0,47,26.353799730539322,0.14640999850299624
316,316,316,316,316,316,316,1-7441,20,19,1-7441,111,8,0,37,16.150863617658615,0.1455032758347623
183,183,183,183,183,183,183,1-9496,6,1,1-9496,39,5,0,3,5.660880833864212,0.14515079061190286
