Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
180,180,180,180,180,180,180,180,180,180,180,180,180,1-10539,15,1-10539,3,63,10,0,4,12.139241933822632,0.19268637990194654
350,350,350,350,350,350,350,350,350,350,350,350,350,1-9609,1,1-9609,1,25,0,0,9,4.813294351100922,0.19253177404403687
125,125,125,125,125,125,125,125,125,125,125,125,125,1-1390,19,1-1390,20,98,14,0,9,18.81329435110092,0.1919723913377645
505,505,505,505,505,505,505,505,505,505,505,505,505,1-9855,20,1-9855,6,8,1,0,1,1.534810483455658,0.19185131043195724
13,13,13,13,13,13,13,13,13,13,13,13,13,1-1258,14,1-1258,15,435,25,0,108,82.75953221321106,0.1902517981912898
422,422,422,422,422,422,422,422,422,422,422,422,422,1-7536,8,1-7536,14,17,0,0,6,3.2088629007339478,0.18875664121964397
128,128,128,128,128,128,128,128,128,128,128,128,128,1-7897,12,1-7897,17,95,12,0,11,17.882915318012238,0.18824121387381304
480,480,480,480,480,480,480,480,480,480,480,480,480,1-5653,18,1-5653,21,11,1,0,2,2.069620966911316,0.18814736062830145
438,438,438,438,438,438,438,438,438,438,438,438,438,1-5163,19,1-5163,20,16,3,0,0,3.0,0.1875
11,11,11,11,11,11,11,11,11,11,11,11,11,MLG56,17,MLG56,2,511,70,0,48,95.67090320587158,0.18722290255552168
