,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
29,1-7140,4,10,1-7140,397,21,0,225,158.23314553499222,0.3985721549999804
30,1-9270,14,8,1-9270,128,29,0,36,50.95730328559876,0.3981039319187403
31,MLG30,4,10,MLG30,208,39,0,71,82.30468147993088,0.3956955840381292
32,1-8627,11,19,1-8627,25,5,0,8,9.879400730133057,0.3951760292053222
33,1-6594,1,18,1-6594,70,2,0,42,27.616853833198547,0.3945264833314078
34,1-8503,1,18,1-8503,16,2,0,7,6.269475638866425,0.3918422274291515
35,1-9794,17,21,1-9794,46,7,0,18,17.978651642799377,0.3908402531043343
36,1-8450,16,6,1-8450,52,13,0,12,20.319101095199585,0.3907519441384535
37,1-2282,16,6,1-2282,219,52,0,55,85.54588001966476,0.390620456710798
38,1-9606,22,20,1-9606,16,5,0,2,6.219850182533264,0.388740636408329
39,1-5214,16,6,1-5214,40,7,0,14,15.53895127773285,0.3884737819433212
40,1-0278,5,11,1-0278,79,27,0,6,30.659550547599792,0.3880955765518961
41,MLG58,11,19,MLG58,71,17,0,17,27.368726551532745,0.3854750218525739
42,1-7521,4,10,1-7521,10,2,0,3,3.829775273799896,0.3829775273799896
43,1-7866,2,12,1-7866,318,15,0,175,121.7368909716606,0.382820411860568
44,1-10038,6,15,1-10038,76,16,0,21,28.80842691659928,0.379058248902622
45,1-2423,4,10,1-2423,79,25,0,8,29.879400730133057,0.3782202624067475
46,1-9553,5,9,1-9553,23,5,0,6,8.659550547599792,0.3765021977217301
47,1-1770,5,9,1-1770,35,7,0,10,13.09925091266632,0.3742643117904663
48,1-4842,16,6,1-4842,6,1,0,2,2.219850182533264,0.3699750304222107
49,1-8421,14,8,1-8421,109,9,0,51,40.10617965459824,0.3679466023357636
50,1-9516,19,3,1-9516,76,21,0,11,27.70917600393296,0.3645944211043809
51,1-11350,13,7,1-11350,100,23,0,22,36.41835200786591,0.364183520078659
52,1-9457,11,19,1-9457,11,4,0,0,4.0,0.3636363636363636
53,1-1258,14,8,1-1258,435,69,0,146,158.04906332492828,0.3633311800573064
54,1-6561,14,8,1-6561,65,13,0,17,23.368726551532745,0.3595188700235807
55,1-5172,14,8,1-5172,120,7,0,59,42.98558038473129,0.3582131698727607
56,1-6611,11,19,1-6611,89,25,0,11,31.70917600393296,0.3562828764486848
57,1-9518,16,6,1-9518,22,6,0,3,7.829775273799896,0.3558988760818135
58,MLG14,12,4,MLG14,232,50,0,53,82.3260298371315,0.3548535768841875
59,1-7536,5,9,1-7536,17,6,0,0,6.0,0.3529411764705882
