,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
131,1-5197,19,9,1-5197,72,6,0,22,19.008730053901672,0.2640101396375232
132,MLG57,7,15,MLG57,629,51,0,194,165.7133468389511,0.2634552413973786
133,1-9630,21,17,1-9630,33,1,0,13,8.686976850032806,0.2632417227282668
134,1-6006,2,6,1-6006,57,15,0,0,15.0,0.2631578947368421
135,1-5744,7,15,1-5744,18,0,0,8,4.730447292327881,0.2628026273515489
136,1-2034,4,4,1-2034,16,3,0,2,4.18261182308197,0.2614132389426231
137,1-1390,11,12,1-1390,98,22,0,6,25.54783546924591,0.2606921986657746
138,1-2324,9,19,1-2324,25,0,0,11,6.504365026950836,0.2601746010780335
139,MLG69,12,3,MLG69,576,47,0,173,149.29592269659042,0.2591943102371361
140,1-20047,12,3,1-20047,20,4,0,2,5.18261182308197,0.2591305911540985
141,MLG63,16,8,MLG63,380,45,0,90,98.21753203868866,0.2584671895754964
142,1-5214,18,11,1-5214,40,5,0,9,10.321753203868866,0.2580438300967216
143,1-7866,6,5,1-7866,318,34,0,81,81.8957788348198,0.2575338957069805
144,1-9831,19,9,1-9831,132,18,0,27,33.9652596116066,0.2573125728152015
145,1-6693,8,13,1-6693,98,11,0,24,25.191341876983643,0.2570545089488126
146,MLG43,2,6,MLG43,14,3,0,1,3.591305911540985,0.2565218508243561
147,1-9902,3,21,1-9902,30,0,0,13,7.686976850032806,0.2562325616677602
148,1-4747,5,14,1-4747,25,4,0,4,6.36522364616394,0.2546089458465576
149,1-3587,18,11,1-3587,46,4,0,13,11.686976850032806,0.2540647141311479
150,1-1015,18,11,1-1015,155,21,0,31,39.33048325777054,0.2537450532759389
151,1-7682,2,6,1-7682,141,25,0,18,35.64350640773773,0.2527908255867924
152,1-18234,3,7,1-18234,43,2,0,15,10.869588673114777,0.2527811319329018
153,1-8397,2,6,1-8397,51,4,0,15,12.869588673114777,0.2523448759434269
154,1-6900,2,6,1-6900,67,8,0,15,16.869588673114777,0.2517849055688773
155,1-9607,15,2,1-9607,19,3,0,3,4.773917734622955,0.2512588281380503
156,1-9115,17,10,1-9115,16,4,0,0,4.0,0.25
157,1-21192,8,13,1-21192,4,1,0,0,1.0,0.25
158,1-8532,11,12,1-8532,4,1,0,0,1.0,0.25
159,1-1204,17,10,1-1204,39,5,0,8,9.73044729232788,0.2494986485212277
160,1-19286,3,7,1-19286,40,7,0,5,9.956529557704926,0.2489132389426231
161,1-1191,16,11,1-1191,53,6,0,12,13.09567093849182,0.24708813091494
162,1-9674,19,9,1-9674,144,13,0,38,35.469624638557434,0.2463168377677599
163,MLG08,3,7,MLG08,107,9,0,29,26.147871434688568,0.2443726302307342
164,1-9076,3,7,1-9076,9,1,0,2,2.18261182308197,0.2425124247868856
165,MLG58,1,21,MLG58,71,0,0,29,17.147871434688568,0.2415193159815291
166,1-9270,21,17,1-9270,128,6,0,42,30.83484828472137,0.2408972522243857
167,1-6561,21,17,1-6561,65,2,0,23,15.600035965442656,0.2400005533145024
168,1-9650,7,15,1-9650,25,3,0,5,5.9565295577049255,0.238261182308197
169,1-9836,16,8,1-9836,5,0,0,2,1.1826118230819702,0.236522364616394
170,1-8705,17,10,1-8705,48,6,0,9,11.321753203868866,0.2358698584139347
171,1-6647,14,23,1-6647,62,14,0,1,14.591305911540983,0.235343643734532
172,1-2701,16,8,1-2701,61,9,0,9,14.321753203868866,0.2347828394076863
173,1-18004,2,6,1-18004,12,1,0,3,2.773917734622956,0.2311598112185796
174,1-10038,16,8,1-10038,76,14,0,6,17.54783546924591,0.2308925719637619
175,1-7721,4,4,1-7721,20,4,0,1,4.591305911540985,0.2295652955770492
176,1-9185,1,21,1-9185,31,0,0,12,7.095670938491821,0.228892610919091
177,1-9394,3,7,1-9394,117,9,0,30,26.73917734622956,0.2285399773182013
178,1-11206,17,10,1-11206,14,2,0,2,3.18261182308197,0.2273294159344264
179,1-9553,11,12,1-9553,23,4,0,2,5.18261182308197,0.2253309488296508
180,1-6974,16,8,1-6974,207,33,0,23,46.60003596544266,0.2251209466929597
181,1-18028,12,3,1-18028,309,11,0,99,69.53928524255753,0.2250462305584386
182,1-6227,10,3,1-6227,52,4,0,13,11.686976850032806,0.2247495548083232
183,MLG40,4,4,MLG40,51,6,0,9,11.321753203868866,0.2219951608601738
