,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
285,1-8659,23,14,1-8659,91,11,0,5,13.90952742099762,0.1528519496812925
286,1-5775,20,8,1-5775,244,21,0,28,37.29335355758667,0.1528416129409289
287,1-9394,6,20,1-9394,117,12,0,10,17.81905484199524,0.1522996140341473
288,1-3639,9,4,1-3639,17,2,0,1,2.581905484199524,0.1518767931882073
289,1-9237,20,8,1-9237,38,4,0,3,5.745716452598572,0.1512030645420676
290,1-8544,3,24,1-8544,54,0,0,14,8.146676778793335,0.1508643847924691
291,1-9110,14,16,1-9110,29,2,0,4,4.327621936798096,0.1492283426482102
292,1-6240,19,17,1-6240,698,58,0,77,102.80672228336334,0.1472875677412082
293,1-7874,8,13,1-7874,258,14,0,41,37.85812485218048,0.1467369180317073
294,1-7268,2,19,1-7268,70,5,0,9,10.237149357795715,0.146244990825653
295,MLG35,2,19,MLG35,49,6,0,2,7.163810968399048,0.1462002238448785
296,1-10444,7,1,1-10444,8,0,0,2,1.163810968399048,0.1454763710498809
297,1-4926,19,1,1-4926,4,0,0,1,0.5819054841995239,0.1454763710498809
298,1-18487,21,12,1-18487,23,1,0,4,3.327621936798096,0.1446792146433954
299,1-7213,1,10,1-7213,23,1,0,4,3.327621936798096,0.1446792146433954
300,1-19447,1,18,1-19447,15,1,0,2,2.163810968399048,0.1442540645599365
301,1-9971,19,17,1-9971,15,1,0,2,2.163810968399048,0.1442540645599365
302,1-10539,19,17,1-10539,63,5,0,7,9.073338389396667,0.1440212442761375
303,1-6181,7,1,1-6181,659,0,0,163,94.8505939245224,0.1439310985197608
304,1-9731,16,15,1-9731,11,1,0,1,1.581905484199524,0.143809589472684
305,MLG37,6,20,MLG37,116,12,0,8,16.65524387359619,0.1435796885654844
306,1-6918,21,12,1-6918,43,5,0,2,6.163810968399048,0.1433444411255592
307,1-7842,14,16,1-7842,21,3,0,0,3.0,0.1428571428571428
308,1-1770,6,20,1-1770,35,2,0,5,4.90952742099762,0.1402722120285034
309,MLG62,14,16,MLG62,525,47,0,44,72.60384130477905,0.138293031056722
310,1-7204,16,15,1-7204,26,3,0,1,3.581905484199524,0.1377655955461355
311,1-8314,17,11,1-8314,36,2,0,5,4.90952742099762,0.1363757616943783
312,1-7058,6,20,1-7058,80,8,0,5,10.90952742099762,0.1363690927624702
313,1-7481,6,20,1-7481,33,1,0,6,4.491432905197144,0.1361040274302164
314,MLG40,5,21,MLG40,51,4,0,5,6.90952742099762,0.1354809298234827
315,1-18234,7,1,1-18234,43,0,0,10,5.819054841995239,0.1353268567905869
316,1-4390,8,13,1-4390,45,2,0,7,6.073338389396668,0.1349630753199259
317,1-6006,8,13,1-6006,57,3,0,8,7.655243873596191,0.1343025240981788
318,1-9416,20,8,1-9416,13,0,0,3,1.7457164525985718,0.1342858809691209
319,1-7070,19,17,1-7070,129,8,0,16,17.310487747192383,0.1341898274976153
320,1-1191,13,16,1-1191,53,3,0,7,7.073338389396668,0.1334592148942767
321,1-5891,1,18,1-5891,96,4,0,15,12.72858226299286,0.1325893985728422
322,1-1989,6,7,1-1989,46,2,0,7,6.073338389396668,0.1320290954216667
323,1-9946,9,4,1-9946,12,1,0,1,1.581905484199524,0.1318254570166269
324,1-18004,23,5,1-18004,12,1,0,1,1.581905484199524,0.1318254570166269
325,1-1827,8,13,1-1827,24,2,0,2,3.163810968399048,0.1318254570166269
326,1-5161,1,18,1-5161,12,1,0,1,1.581905484199524,0.1318254570166269
327,1-0037,15,23,1-0037,35,4,0,1,4.581905484199524,0.1309115852628435
328,1-9553,4,9,1-9553,23,3,0,0,3.0,0.1304347826086956
329,1-4634,10,10,1-4634,48,1,0,9,6.237149357795715,0.129940611620744
330,1-7509,2,19,1-7509,40,4,0,2,5.163810968399048,0.1290952742099761
331,1-9697,19,20,1-9697,20,2,0,1,2.581905484199524,0.1290952742099761
332,1-3068,3,24,1-3068,180,15,0,14,23.14667677879333,0.128592648771074
333,1-9818,13,9,1-9818,28,3,0,1,3.581905484199524,0.1279251958642687
334,1-9808,7,1,1-9808,74,0,0,16,9.310487747192385,0.1258174019890862
335,1-9855,11,7,1-9855,8,1,0,0,1.0,0.125
336,1-6647,17,14,1-6647,62,6,0,3,7.745716452598572,0.1249309105257834
337,1-9504,1,18,1-9504,30,2,0,3,3.745716452598572,0.124857215086619
338,1-5913,4,1,1-5913,14,0,0,3,1.7457164525985718,0.1246940323284694
339,1-13247,1,24,1-13247,29,3,0,1,3.581905484199524,0.1235139822137766
340,1-3589,3,24,1-3589,27,1,0,4,3.327621936798096,0.123245256918448
341,MLG30,7,1,MLG30,208,0,0,44,25.603841304779053,0.1230953908883608
342,1-18714,1,18,1-18714,32,1,0,5,3.90952742099762,0.1221727319061756
343,1-6787,14,16,1-6787,56,1,0,10,6.819054841995239,0.1217688364642007
344,1-1207,21,12,1-1207,66,1,0,12,7.982865810394287,0.1209525122787013
345,MLG48,6,20,MLG48,159,15,0,7,19.073338389396667,0.1199581030779664
346,1-9761,1,6,1-9761,35,3,0,2,4.163810968399048,0.1189660276685442
347,1-7614,22,3,1-7614,72,1,0,13,8.564771294593811,0.1189551568693584
348,1-9770,20,8,1-9770,50,3,0,5,5.90952742099762,0.1181905484199524
349,1-0001,5,21,1-0001,17,2,0,0,2.0,0.1176470588235294
350,1-0358,16,7,1-0358,22,2,0,1,2.581905484199524,0.1173593401908874
351,1-18613,1,18,1-18613,25,0,0,5,2.90952742099762,0.1163810968399047
352,1-4051,4,22,1-4051,5,0,0,1,0.5819054841995239,0.1163810968399047
353,1-6900,14,16,1-6900,67,6,0,3,7.745716452598572,0.1156077082477398
354,1-1204,5,21,1-1204,39,1,0,6,4.491432905197144,0.1151649462871062
355,1-0008,7,1,1-0008,230,0,0,45,26.185746788978577,0.113851072995559
356,1-9831,22,3,1-9831,132,1,0,24,14.965731620788574,0.1133767547029437
357,1-17758,2,19,1-17758,40,1,0,6,4.491432905197144,0.1122858226299285
358,1-9794,6,20,1-9794,46,4,0,2,5.163810968399048,0.112256760182588
359,MLG02,7,1,MLG02,320,0,0,61,35.49623453617096,0.1109257329255342
360,1-2701,19,7,1-2701,61,5,0,3,6.745716452598572,0.11058551561637
361,1-2423,7,1,1-2423,79,0,0,15,8.728582262992859,0.1104883830758589
362,1-7991,3,24,1-7991,46,1,0,7,5.073338389396668,0.110289964986884
363,1-8418,9,4,1-8418,46,5,0,0,5.0,0.108695652173913
364,MLG08,23,14,MLG08,107,11,0,1,11.581905484199524,0.1082421073289675
365,1-1836,11,7,1-1836,20,1,0,2,2.163810968399048,0.1081905484199523
366,1-5214,6,20,1-5214,40,2,0,4,4.327621936798096,0.1081905484199523
367,1-18423,11,7,1-18423,47,5,0,0,5.0,0.1063829787234042
368,1-8820,22,3,1-8820,83,3,0,10,8.81905484199524,0.1062536727951233
369,1-7770,6,20,1-7770,11,0,0,2,1.163810968399048,0.1058009971271861
370,1-9518,7,1,1-9518,22,0,0,4,2.327621936798096,0.1058009971271861
371,1-19897,11,7,1-19897,53,5,0,1,5.581905484199524,0.105318971399991
372,1-6061,10,10,1-6061,40,3,0,2,4.163810968399048,0.1040952742099761
373,1-7530,3,24,1-7530,25,2,0,1,2.581905484199524,0.1032762193679809
374,1-8042,19,17,1-8042,52,3,0,4,5.327621936798096,0.1024542680153479
375,1-1131,3,24,1-1131,138,10,0,7,14.073338389396667,0.1019807129666425
376,1-9655,3,24,1-9655,27,1,0,3,2.745716452598572,0.1016932019480952
377,1-9576,3,24,1-9576,10,1,0,0,1.0,0.1
378,1-20047,13,9,1-20047,20,2,0,0,2.0,0.1
379,1-3509,7,1,1-3509,35,0,0,6,3.491432905197144,0.0997552258627755
380,1-9452,5,21,1-9452,16,1,0,1,1.581905484199524,0.0988690927624702
381,MLG54,9,4,MLG54,595,53,0,10,58.81905484199524,0.0988555543562945
382,1-2545,2,19,1-2545,145,10,0,7,14.073338389396667,0.0970575061337701
383,1-3551,3,24,1-3551,6,0,0,1,0.5819054841995239,0.0969842473665873
384,1-7993,2,19,1-7993,24,0,0,4,2.327621936798096,0.0969842473665873
385,1-1935,8,13,1-1935,12,0,0,2,1.163810968399048,0.0969842473665873
386,1-7525,11,7,1-7525,6,0,0,1,0.5819054841995239,0.0969842473665873
387,1-8705,7,1,1-8705,48,0,0,8,4.655243873596191,0.0969842473665873
388,1-8174,18,11,1-8174,45,2,0,4,4.327621936798096,0.096169376373291
389,1-8018,1,18,1-8018,58,2,0,6,5.491432905197144,0.0946798776758128
390,1-5282,5,21,1-5282,17,1,0,1,1.581905484199524,0.0930532637764425
391,1-8100,6,20,1-8100,19,0,0,3,1.7457164525985718,0.0918798132946616
392,1-18409,17,6,1-18409,22,2,0,0,2.0,0.0909090909090909
393,1-0031,16,15,1-0031,13,0,0,2,1.163810968399048,0.0895239206460806
394,1-4417,7,1,1-4417,151,0,0,23,13.38382613658905,0.0886346101760864
395,1-9549,10,10,1-9549,18,1,0,1,1.581905484199524,0.0878836380110846
396,1-8576,7,1,1-8576,55,0,0,8,4.655243873596191,0.0846407977017489
397,1-6878,7,1,1-6878,167,0,0,24,13.965731620788574,0.0836271354538238
398,1-2178,1,18,1-2178,12,1,0,0,1.0,0.0833333333333333
399,1-6543,11,7,1-6543,12,1,0,0,1.0,0.0833333333333333
400,1-6642,12,5,1-6642,36,3,0,0,3.0,0.0833333333333333
401,1-9607,1,18,1-9607,19,1,0,1,1.581905484199524,0.0832581833789223
402,1-8400,3,8,1-8400,33,1,0,3,2.745716452598572,0.0832035288666233
403,1-3646,12,5,1-3646,7,0,0,1,0.5819054841995239,0.0831293548856462
404,1-9447,10,10,1-9447,7,0,0,1,0.5819054841995239,0.0831293548856462
405,1-8127,10,10,1-8127,32,2,0,1,2.581905484199524,0.0806845463812351
